task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
pw,Nigeria,Ibeju-Lekki,62230.21810269003,63115.90325111997,47279.15511446127,79517.49465327284,165320.602318
pw,Nigeria,Oke-Ero,62073.31170590094,60821.036833239974,34587.01295909664,98114.16240955258,94609.691255
pw,Nigeria,EdeNorth,61991.5259184581,61870.008535066576,32375.012332833005,92372.85931379875,119525.84812
pw,Nigeria,AkokoSouth-East,61124.433512150805,60508.45455637338,41830.62418864358,80542.46839922518,105966.861283
pw,Nigeria,Aleiro,60759.77616403182,59879.563007077166,38037.69770264787,88559.72772882896,92650.241473
pw,Nigeria,Patani,60641.55102479325,60420.04940614094,38963.78440296,84916.04955810703,96774.322046
pw,Nigeria,Abadam,60249.68999304802,60190.11529024751,46352.508259568494,74918.03402287347,83534.04362899999
pw,Nigeria,OgbomoshoSouth,59975.5652044839,59447.06938534341,24313.162091655307,105322.67242424432,111032.674054
pw,Nigeria,Kolokuma/Opokuma,59933.863094562235,58294.993333862505,33746.258825501835,91441.27507131736,104164.555571
pw,Nigeria,NsitAtai,58404.52495314002,57088.77840994193,44154.89747684205,76160.11062193014,112046.868892
pw,Nigeria,Keffi,57982.237462785786,58145.57656555274,31358.209488879755,90947.43134071189,118805.654228
pw,Nigeria,UkwaEast,57568.21326838809,57031.54733602672,37546.05504171896,88142.67584761717,92404.228676
pw,Nigeria,Ika,57555.07835510929,56524.9689371849,40198.59164910709,76494.68556987714,97748.511633
pw,Nigeria,Tafa,56697.6668786626,55416.75057963565,38649.37706040326,77729.45627199575,118007.323634
pw,Nigeria,UdungUko,56108.31932458206,54221.446464042,17643.491877401782,99203.23631175891,78362.444078
pw,Nigeria,Teungo,55792.52052601611,57556.213356742315,33685.71895624341,86289.5602047069,66909.779684
pw,Nigeria,Egbedore,54941.70925382301,54604.43931034226,35307.387771504094,74801.34353667976,123788.24638899999
pw,Nigeria,Hadejia,54286.035610523795,45306.511551470925,21637.461795782874,93206.67406140004,140821.834647
pw,Nigeria,Damaturu,53694.1105836289,52164.26292033471,33335.24239060081,80751.26414715037,132981.580015
pw,Nigeria,Ogu/Bolo,51791.950344212615,49883.89474574857,11312.958145457698,112006.12296063628,80989.14819400001
pw,Nigeria,IjebuNorth-East,51660.63884255487,50299.48455152022,36665.679376044965,68725.21440250952,84641.297488
pw,Nigeria,OwerriMunicipal,51001.98156621001,55183.39572001522,36192.57754512479,70445.67586897181,158299.348815
pw,Nigeria,Bida,49713.03419042303,60105.07468902943,20877.86469430011,81205.6906423951,165568.3498
pw,Nigeria,Remo-North,49259.744284387205,48134.91476698083,18310.63564560994,88053.2952211049,89064.554401
pw,Nigeria,EasternObolo,49128.36181747627,49531.193440626004,26789.899115874134,77721.95670361922,83239.11820000001
pw,Nigeria,Bonny,49105.78594065325,49853.99585185378,32634.014425697562,73654.03791345385,94267.383633
pw,Nigeria,Oron,46855.60821557399,44774.14025549136,18996.382209855034,79214.39267888885,106742.87055
pw,Nigeria,Ifedayo,46149.72851210781,44786.60253069977,14047.553822859894,83885.39681592818,70739.174147
pw,Nigeria,Ekiti,44505.30639343459,43893.56693689105,23124.91570747089,71753.67711354603,72068.471723
pw,Nigeria,EsitEket,43421.60975382682,43463.296569912236,26381.361901975048,61030.903782717825,88929.64477500001
pw,Nigeria,Ewekoro,42626.92835097504,42043.876148131974,30294.44984370249,56336.871252455276,78263.525046
pw,Nigeria,Isin,42166.05379529154,43243.49394647621,27973.359592137494,59563.72746386495,79212.116951
pw,Nigeria,Mopa-Muro,39703.374045485245,39420.69919419379,21793.863894095473,61842.94777640011,58913.759946000006
pw,Nigeria,Ogori/Magongo,39183.2764708469,38847.60589662932,19098.141634518794,59472.586304676195,50522.37408
pw,Nigeria,Ilejemeje,22446.687534846,22651.723169239078,11921.808726136576,33964.67983193113,48931.084999
pw,Nigeria,Mbo,19753.221236010137,19141.585631359663,7043.939550139434,35455.65183462405,29524.56414
pw,Nigeria,Kala/Balge,19643.621739310227,19336.684845255644,11516.107375555339,29719.771721066678,26546.755486
pw,Nigeria,LakeChad,4064.3060467881573,4192.598107283776,876.2806974270164,9679.088617044845,5229.976552
pw,Nigeria,Ibeno,493.51039961538464,467.10172594565506,448.0649116973232,520.0682147961066,712.8483550000001
pw,Nigeria,Bakassi,31.56859590528233,30.445252033199996,13.928657859696282,49.907060268138316,40.8484
sw,Nigeria,Abuja,1577385.8495244058,1452465.1778681723,1361403.1583143752,1795272.1018313554,2588985.010097
sw,Nigeria,Alimosho,729040.3756383224,676751.3497474393,553707.7116592214,876353.7210399216,2057386.643183
sw,Nigeria,Maiduguri,606130.250813006,552178.0590378904,342140.9888268752,849738.3199075207,777957.962592
sw,Nigeria,Akko,598128.0576312568,577418.282599431,320503.34891767433,1030080.0844597459,730893.777093
sw,Nigeria,Bauchi,578371.2174734888,553460.3161848224,454476.02005882794,700621.3137867062,736838.001627
sw,Nigeria,AdoOdo/Ota,508394.00342954055,450530.4602264922,417721.0012245775,627361.3813293237,1013450.181367
sw,Nigeria,Igabi,506825.0741002301,485979.89422327845,393459.6464392965,636153.3830894176,688524.800438
sw,Nigeria,Bwari,501071.2986226461,464631.57872218575,379390.32307775604,618854.2087249664,737213.59461
sw,Nigeria,Ningi,489116.5090944618,478264.4859239225,413445.6235833103,562467.240210492,578502.758115
sw,Nigeria,Toro,483748.96196428395,483591.22461473616,427424.70056908386,550196.9166330394,521560.588248
sw,Nigeria,Alkaleri,459751.259636782,460803.2178953853,371931.1507669604,568589.4164649717,479251.89783
sw,Nigeria,Chikun,457978.90631040797,450585.1268634263,358702.3922685408,567260.6728710918,527816.287836
sw,Nigeria,Ungogo,451908.8470653571,440356.3086966758,338722.7425796971,590980.0020627918,743836.465426
sw,Nigeria,PortHarcourt,445645.24729162245,387238.1010969481,271590.5960969915,646927.8941686202,750104.323748
sw,Nigeria,Okene,440860.75485626096,435182.3832515567,49183.87391089541,1124654.2566976317,479668.32688400004
sw,Nigeria,Fune,438748.6629361948,440268.11595723656,364960.38878355885,519708.41613076546,453498.01312200003
sw,Nigeria,Bassa,436941.853340271,436134.78683348227,374712.930985508,507103.1765403341,478226.546185
sw,Nigeria,JosNorth,434883.64007848926,405077.08068658196,342402.18035259197,527281.0795369942,606160.762695
sw,Nigeria,Nasarawa,433542.2681135424,410896.16531734855,253157.31671264334,669349.6695670417,1007592.19559
sw,Nigeria,Zurmi,433383.79897819285,432119.0733543888,353973.05497282743,522856.45841773757,455669.761567
sw,Nigeria,Lere,425215.2134051666,421252.9340098022,365351.49493840494,481998.0242889725,478186.176756
sw,Nigeria,Kano,420436.2135250092,392696.5622159632,293463.1483961145,559391.0151867738,611628.4668010001
sw,Nigeria,ZangonKataf,418978.9761798344,412105.9554223859,360398.23128524865,488641.65316839464,467445.253007
sw,Nigeria,Gusau,418890.39436586545,407014.0766717443,308308.55318208097,527478.2824458306,541558.756387
sw,Nigeria,Gboko,414926.21387818287,401466.09564296587,298553.26482795016,552770.6456625129,523648.683117
sw,Nigeria,Surulere,410497.77402763435,395232.6115038646,224366.7779486205,638525.3748835562,1118969.468593
